source,source_lot_id,lot_url,sale_date_utc,sale_local_time,location_city,location_state,vin,year,make,model,title_status,condition_notes
abetter_bid_northeast,abetter_bid_toyota_4runner_ct_2011_Toyota_4runner_Sr_Hartford,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ct,2025-09-23T18:00:00+00:00,"September 23, 2025 2:00 PM",Hartford,CT,,2011,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ct_2011_Toyota_4runner_Sr5_Hartford,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ct,2025-09-25T18:00:00+00:00,"September 25, 2025 2:00 PM",Hartford,CT,,2011,TOYOTA,4runner Sr5,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ny_2008_Toyota_4runner_Sr_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ny,2025-09-22T18:00:00+00:00,"September 22, 2025 2:00 PM",New York,NY,,2008,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ma_2006_Toyota_4runner_Sr_Boston,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ma,2025-09-22T18:00:00+00:00,"September 22, 2025 2:00 PM",Boston,MA,,2006,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ma_2005_Toyota_4runner_Sr_Boston,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ma,2025-09-22T18:00:00+00:00,"September 22, 2025 2:00 PM",Boston,MA,,2005,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ny_2007_Toyota_4runner_Sr_Rochester,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ny,2025-09-22T18:00:00+00:00,"September 22, 2025 2:00 PM",Rochester,NY,,2007,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ct_2001_Toyota_4runner_Sr_Hartford,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ct,2025-09-23T18:00:00+00:00,"September 23, 2025 2:00 PM",Hartford,CT,,2001,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ct_2003_Toyota_4runner_Sr_Hartford,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ct,2025-09-23T18:00:00+00:00,"September 23, 2025 2:00 PM",Hartford,CT,,2003,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ct_2008_Toyota_4runner_Limited_Hartford,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ct,2025-09-23T18:00:00+00:00,"September 23, 2025 2:00 PM",Hartford,CT,,2008,TOYOTA,4runner Limited,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ct_2007_Toyota_4runner_Sr_Hartford,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ct,2025-09-23T18:00:00+00:00,"September 23, 2025 2:00 PM",Hartford,CT,,2007,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ct_2010_Toyota_4runner_Sr_Hartford,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ct,2025-09-23T18:00:00+00:00,"September 23, 2025 2:00 PM",Hartford,CT,,2010,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ma_2010_Toyota_4runner_Sr_Boston,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ma,2025-09-23T18:00:00+00:00,"September 23, 2025 2:00 PM",Boston,MA,,2010,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ma_2008_Toyota_4runner_Li_Boston,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ma,2025-09-23T18:00:00+00:00,"September 23, 2025 2:00 PM",Boston,MA,,2008,TOYOTA,4runner Li,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ma_2008_Toyota_4runner_Sr_Boston,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ma,2025-09-24T18:00:00+00:00,"September 24, 2025 2:00 PM",Boston,MA,,2008,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ma_2004_Toyota_4runner_Sr_Boston,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ma,2025-09-24T18:00:00+00:00,"September 24, 2025 2:00 PM",Boston,MA,,2004,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ma_2007_Toyota_4runner_Boston,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ma,2025-09-24T18:00:00+00:00,"September 24, 2025 2:00 PM",Boston,MA,,2007,TOYOTA,4runner,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ri_2001_Toyota_4runner_Sr_Providence,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ri,2025-09-25T18:00:00+00:00,"September 25, 2025 2:00 PM",Providence,RI,,2001,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ri_2007_Toyota_4runner_Sr_Providence,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ri,2025-09-25T18:00:00+00:00,"September 25, 2025 2:00 PM",Providence,RI,,2007,TOYOTA,4runner Sr,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ma_2007_Toyota_4runner_Li_Boston,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ma,2025-09-26T18:00:00+00:00,"September 26, 2025 2:00 PM",Boston,MA,,2007,TOYOTA,4runner Li,unknown,
ny_abetter_bid,abetter_bid_toyota_4runner_2007_Toyota_4runner_Sr_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ny,,,New York,NY,,2007,TOYOTA,4runner Sr,unknown,
ny_abetter_bid,abetter_bid_toyota_4runner_2005_Toyota_4runner_Sr_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ny,,,New York,NY,,2005,TOYOTA,4runner Sr,unknown,
ny_abetter_bid,abetter_bid_toyota_4runner_2008_Toyota_4runner_Sr_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ny,,,New York,NY,,2008,TOYOTA,4runner Sr,unknown,
ny_abetter_bid,abetter_bid_toyota_4runner_2005_Toyota_4runner_Li_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ny,,,New York,NY,,2005,TOYOTA,4runner Li,unknown,
abetter_bid_northeast,abetter_bid_toyota_4runner_ny_2007_Toyota_4runner_Sr_New_York,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-4runner/state-ny,,,New York,NY,,2007,TOYOTA,4runner Sr,unknown,
